"Growth","Season","Model","Morph","Yr","Seas","SubSeas","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"growth1","oneseas","3.30.24.1",1,1992,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4282,69.3561,70.1569,70.8481,71.4447,71.9596,72.404,72.7876,73.1187,73.4044,73.651,73.8639,74.0476,74.2061,74.343,74.4611,74.5631,74.6511,74.727,74.7925,74.8491,74.8979,74.9401,74.9765,75.0079,75.035,75.1415
"growth1","oneseas","3.30.24.1",1,1992,1,2,25.4644,32.2828,38.1677,43.247,47.6309,51.4146,54.6803,57.4989,59.9317,62.0314,63.8436,65.4077,66.7577,67.9229,68.9137,69.7757,70.5197,71.1619,71.7161,72.1945,72.6073,72.9637,73.2712,73.5367,73.7658,73.9636,74.1342,74.2815,74.4087,74.5184,74.6131,74.6949,74.7654,74.8263,74.8789,74.9242,74.9634,74.9972,75.0264,75.0515,75.1505
"growth1","oneseas","3.30.24.1",1,1993,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4442,69.3647,70.1655,70.8567,71.4533,71.9682,72.4126,72.7962,73.1273,73.413,73.6596,73.8725,74.0562,74.2147,74.3516,74.4697,74.5717,74.6596,74.7356,74.8011,74.8577,74.9065,74.9487,74.9851,75.0165,75.0435,75.15
"growth1","oneseas","3.30.24.1",1,1993,1,2,25.4644,32.2828,38.1677,43.247,47.6309,51.4146,54.6803,57.4989,59.9317,62.0314,63.8436,65.4077,66.7577,67.9229,68.9285,69.7837,70.5277,71.1698,71.7241,72.2024,72.6153,72.9717,73.2792,73.5447,73.7738,73.9715,74.1422,74.2895,74.4167,74.5264,74.6211,74.7029,74.7734,74.8343,74.8869,74.9322,74.9714,75.0052,75.0343,75.0595,75.1584
"growth1","oneseas","3.30.24.1",1,1994,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4442,69.3785,70.1729,70.8642,71.4607,71.9756,72.4201,72.8036,73.1347,73.4204,73.667,73.8799,74.0636,74.2222,74.359,74.4771,74.5791,74.6671,74.743,74.8086,74.8651,74.914,74.9561,74.9925,75.0239,75.051,75.1573
"growth1","oneseas","3.30.24.1",1,1994,1,2,25.4644,32.2828,38.1677,43.247,47.6309,51.4146,54.6803,57.4989,59.9317,62.0314,63.8436,65.4077,66.7577,67.9229,68.9285,69.7965,70.5346,71.1767,71.731,72.2093,72.6222,72.9786,73.2861,73.5516,73.7807,73.9784,74.1491,74.2964,74.4236,74.5333,74.628,74.7098,74.7803,74.8412,74.8938,74.9391,74.9783,75.0121,75.0412,75.0664,75.1652
"growth1","oneseas","3.30.24.1",1,1995,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4442,69.3785,70.1849,70.8706,71.4671,71.982,72.4265,72.81,73.1411,73.4268,73.6734,73.8863,74.07,74.2286,74.3654,74.4835,74.5855,74.6735,74.7494,74.815,74.8715,74.9204,74.9625,74.9989,75.0303,75.0574,75.1636
"growth1","oneseas","3.30.24.1",1,1995,1,2,25.4644,32.2828,38.1677,43.247,47.6309,51.4146,54.6803,57.4989,59.9317,62.0314,63.8436,65.4077,66.7577,67.9229,68.9285,69.7965,70.5457,71.1827,71.7369,72.2153,72.6282,72.9845,73.2921,73.5575,73.7866,73.9844,74.1551,74.3024,74.4295,74.5392,74.634,74.7157,74.7863,74.8471,74.8997,74.9451,74.9842,75.018,75.0472,75.0723,75.171
"growth1","oneseas","3.30.24.1",1,1996,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4442,69.3785,70.1849,70.8808,71.4727,71.9876,72.432,72.8155,73.1466,73.4323,73.679,73.8918,74.0755,74.2341,74.3709,74.4891,74.591,74.679,74.7549,74.8205,74.8771,74.9259,74.968,75.0044,75.0358,75.0629,75.169
"growth1","oneseas","3.30.24.1",1,1996,1,2,25.4644,32.2828,38.1677,43.247,47.6309,51.4146,54.6803,57.4989,59.9317,62.0314,63.8436,65.4077,66.7577,67.9229,68.9285,69.7965,70.5457,71.1922,71.7421,72.2204,72.6333,72.9896,73.2972,73.5627,73.7918,73.9895,74.1602,74.3075,74.4346,74.5444,74.6391,74.7208,74.7914,74.8523,74.9048,74.9502,74.9894,75.0231,75.0523,75.0775,75.176
"growth1","oneseas","3.30.24.1",1,1997,1,1,21.6597,28.999,35.3335,40.8008,45.5196,49.5924,53.1075,56.1415,58.7601,61.0202,62.9708,64.6544,66.1076,67.3617,68.4442,69.3785,70.1849,70.8808,71.4815,71.9923,72.4367,72.8203,73.1514,73.4371,73.6837,73.8966,74.0803,74.2389,74.3757,74.4938,74.5958,74.6838,74.7597,74.8253,74.8818,74.9307,74.9728,75.0092,75.0406,75.0677,75.1736
